Airport,DepDelay_Mean,DepFlights,Arrivals,ArrivalsDelay_Mean
IAD,13.5,76033,76022,0.00018415721764752308
IND,17.764705882352942,42750,42732,0.0008658616493494337
ISP,24.035714285714285,10183,10180,-0.0018664047151277013
JAN,49.333333333333336,12609,12606,-0.00015865460891638903
JAX,11.956521739130435,32685,32702,0.0006421625588649012
LAS,31.800829875518673,172876,172871,0.00045698815880049285
LAX,30.975409836065573,215608,215685,-6.027308343185664e-05
LBB,9.076923076923077,8249,8248,0.00048496605237633366
LIT,18.5,15369,15372,0.00039032006245121
MAF,41.416666666666664,6839,6840,0.0008771929824561404
MCI,18.26388888888889,59370,59361,0.00032007547042671116
MCO,17.198275862068964,130872,130859,-0.00017576169770516358
MDW,44.198237885462554,87619,87600,-0.00011415525114155251
MHT,36.83870967741935,18588,18582,0.0011839414487138092
MSY,21.542857142857144,39422,39423,-0.00035512264414174464
OAK,29.368055555555557,62535,62533,-0.00022388179041466107
OKC,13.636363636363637,25152,25154,0.00015902043412578516
OMA,30.875,27007,27004,0.00040734705969486
ONT,18.089285714285715,35072,35084,0.0004845513624444191
ORF,33.61538461538461,16458,16455,0.0029170464904284413
PBI,14.153846153846153,27822,27827,0.0022999245337262373
PDX,26.166666666666668,57860,57858,0.0003111065021258944
PHL,19.77777777777778,100499,100483,-0.00016918284684971587
PHX,22.575,199408,199416,0.00019055642476030008
PIT,16.26086956521739,41800,41791,-0.00026321456772989397
PVD,16.08823529411765,22509,22500,0.0014222222222222223
RDU,13.806451612903226,60179,60186,-0.00016615159671684444
RNO,24.15,24286,24274,0.005437917112960369
RSW,19.363636363636363,27136,27131,-0.0001842910323983635
SAN,29.75728155339806,93775,93750,-3.2e-05
SAT,13.3125,45269,45260,-4.418912947414936e-05
SDF,15.80952380952381,22458,22448,-0.0005791161796151105
SEA,23.404255319148938,109069,109075,-3.667201466880587e-05
SFO,79.92307692307692,140587,140579,0.000220516577867249
SJC,26.0875,57136,57143,0.00043749890625273435
SLC,25.591836734693878,139088,139077,0.00011504418415697779
SMF,20.69047619047619,53056,53049,-0.0003016079473694132
SNA,13.289473684210526,47376,47376,0.005150287065180682
STL,16.026666666666667,62733,62739,-9.563429445799264e-05
TPA,22.50588235294118,78179,78171,-0.0004989062440035307
TUL,19.35,23459,23455,0.0008953314858239182
TUS,14.0,26661,26678,-0.00014993627708224006
ABQ,17.107692307692307,41146,41144,7.2914641259965e-05
ALB,5.428571428571429,13474,13468,0.002079002079002079
AMA,8.666666666666666,7496,7490,-0.00040053404539385846
AUS,8.285714285714286,49623,49637,0.0002820476660555634
BDL,5.052631578947368,29449,29445,-0.00016980811682798438
BHM,4.555555555555555,23679,23679,-0.00012669453946534905
BNA,9.813953488372093,57539,57544,-0.0001564020575559572
BOI,14.105263157894736,17024,17023,0.0014098572519532398
BUF,12.647058823529411,26281,26277,-0.0003805609468356357
BUR,34.67213114754098,31405,31403,0.00044581727860395506
BWI,6.4476744186046515,104074,104068,5.765461044701541e-05
CLE,4.0,65795,65792,0.0
CMH,2.4482758620689653,34157,34151,-0.00032209891364820943
CRP,0.0,5270,5269,-0.0020876826722338203
DAL,9.05109489051095,53928,53931,-0.0002781331701618735
DEN,18.875,241443,241470,1.6565204787344185e-05
DTW,3.0,161989,162000,6.172839506172839e-06
ELP,21.205882352941178,20731,20728,0.0016885372443072172
FLL,10.772727272727273,67177,67179,-0.000610309769421992
GEG,26.0,15560,15552,0.0029578189300411522
HOU,6.510204081632653,55933,55934,0.00035756427217792396
HRL,2.0833333333333335,4421,4421,-0.0013571590137977834
ROC,9.0,14264,14253,0.000912088683084263
DAY,-7.0,15791,15785,6.335128286347799e-05
ORD,71.0,350380,350452,0.0
EWR,-6.0,138506,138491,0.0003465929193954842
SYR,57.0,12032,12036,0.015785975407111998
IAH,0.0,185172,185160,0.0005346727154893065
LFT,-3.0,4879,4879,-0.0020496003279360524
MKE,-7.0,42700,42687,0.0006325110689437065
CHS,-8.0,14181,14179,7.052683546089287e-05
LCH,-10.0,1000,999,-0.002002002002002002
CLT,-10.0,126045,126030,-5.5542331190986275e-05
BTR,-4.0,8941,8939,0.00022373867322966775
CRW,6.0,3414,3413,0.012891883973044242
FAT,-6.258064516129032,14278,14277,-0.00035021363031449183
COS,4.548387096774194,16201,16197,0.0006173982836327715
MRY,1.8387096774193548,7607,7603,0.002104432460870709
LGB,7.2272727272727275,15443,15449,-0.00038837465208104083
BFL,-1.7,4502,4499,0.006223605245610136
EUG,6.28,5749,5752,0.0012169680111265646
ICT,1.8709677419354838,14050,14046,-0.0002847785846504343
MEM,11.0,80966,80961,2.4703252183149912e-05
LGA,-10.0,119135,119117,-0.00012592660997170848
DCA,-7.0,86662,86671,-0.0002538334621730452
BTV,50.0,7005,7006,-0.0007136739937196689
GRK,-7.0,3733,3729,-0.003218020917135961
BRO,5.0,1464,1465,0.006825938566552901
TYS,-5.0,14004,13999,-0.0006429030645046075
DSM,-6.0,16643,16639,-0.0003004988280545706
BPT,2.0,276,275,-0.05454545454545454
GPT,-3.0,8541,8538,-0.0008198641368001874
GRR,0.0,16616,16620,0.0015643802647412755
PWM,6.0,6897,6891,0.004643738209258453
MSP,4.0,130289,130320,0.00020718232044198895
RIC,-10.0,19977,19966,-0.0005509365922067514
CVG,-4.0,91265,91345,-0.00024084514751765285
SAV,-6.0,13774,13774,-0.000363002758820967
SRQ,12.0,6432,6429,0.012132524498366775
GSO,-4.0,13558,13549,-0.000738061849582995
CHA,-3.0,4571,4567,-0.003065469673746442
XNA,-6.0,14112,14112,-0.00042517006802721087
GSP,-6.0,11856,11851,-0.000843810648890389
LEX,-4.0,10344,10338,-0.0014509576320371445
MFE,-6.0,4116,4113,0.002188183807439825
ABE,1.0,4807,4795,-0.003753910323253389
MLU,-5.0,2530,2527,0.003957261574990107
MOB,-5.0,6348,6346,0.009297195083517177
LRD,-6.0,2115,2116,-0.006143667296786389
SHV,53.0,8079,8077,0.00544756716602699
TLH,-8.0,5912,5913,0.004735328936242178
CAE,-4.0,10550,10552,9.476876421531463e-05
AEX,-3.0,2330,2327,0.001289213579716373
ATL,-3.0,414513,414521,-1.20621150677529e-05
DFW,19.0,281281,281401,9.950213396540879e-05
BGR,167.0,2879,2877,0.01251303441084463
AVL,-10.0,4399,4398,0.0015916325602546612
BOS,-2.0,117915,117944,-4.23930000678288e-05
MSN,-1.0,13961,13956,-0.0025795356835769563
HSV,-8.0,10791,10783,0.003616804228878791
MGM,-3.0,3851,3853,-0.003633532312483779
MYR,-10.0,5335,5332,-0.0018754688672168042
VPS,7.0,6820,6814,-0.001614323451717053
CLL,-2.0,1367,1365,-0.002197802197802198
PNS,-8.0,9497,9490,0.0011591148577449948
MTJ,16.0,2419,2419,0.0062009094667217855
DAB,-9.0,2957,2956,-0.0027063599458728013
PSP,-6.0,11979,11978,0.0038403740190348975
ASE,17.8,5307,5243,0.017165744802593936
ATW,68.5,5873,5872,-0.0003405994550408719
AVP,0.0,2386,2384,0.03901006711409396
BMI,5.0,4801,4799,-0.002500520941862888
CAK,42.333333333333336,8994,8993,0.0025575447570332483
CID,161.0,9377,9371,-0.0003201365916124213
CLD,-10.0,2303,2301,-0.007822685788787484
COD,-2.0,1188,1187,-0.002527379949452401
CPR,3.0,2709,2704,-0.005917159763313609
CWA,-3.0,2563,2563,0.0
DRO,-6.428571428571429,3674,3670,-0.00027247956403269756
EGE,-0.25,3106,3103,0.004834031582339671
FLG,11.5,1871,1871,-0.008017103153393906
FSD,113.0,5828,5823,-0.000858663918942126
FWA,105.0,6144,6141,-0.0013027194268034523
GJT,7.375,5152,5200,-0.002692307692307692
GRB,107.0,7930,7929,-0.0005044772354647496
HDN,-1.0,2398,2384,-0.00587248322147651
HNL,-0.125,56276,56272,-3.554165481944839e-05
ILM,-4.75,3397,3394,-0.0041249263406010605
ITO,-2.6666666666666665,8051,8051,0.0022357471121599803
JFK,-3.0,118804,118802,0.00039561623541691215
KOA,5.0,12710,12711,-0.0028321925890960587
LAN,59.0,3693,3696,-0.0016233766233766235
LIH,2.5,13184,13179,-0.0022004704454055696
MBS,116.5,2918,2917,0.006513541309564621
MDT,18.75,7594,7588,-0.002503953610964681
MFR,7.5,5652,5650,0.00035398230088495576
OGG,0.6666666666666666,19940,19933,0.0013043696382882657
RAP,9.333333333333334,4161,4162,0.009851033157135992
ROA,2.5,3720,3718,0.002151694459386767
SBA,-2.8333333333333335,12568,12573,0.00023860653781913624
SBN,29.0,5319,5320,-0.0020676691729323306
SBP,-8.0,5846,5839,0.0
SPI,63.0,1225,1229,-0.02034174125305126
TEX,10.0,194,194,-0.05154639175257732
YUM,9.666666666666666,3871,3874,0.022973670624677336
TVC,42.0,4262,4258,0.006810709253170503
HPN,7.0,10715,10706,0.0047636839155613675
MIA,51.0,62559,62582,0.000447412994151673
MLB,0.0,2002,2002,0.01098901098901099
SGF,0.0,10087,10077,-0.0005954153021732659
TRI,-5.0,2117,2116,0.06427221172022685
ACY,-10.0,116,113,0.30973451327433627
TWF,-8.0,1813,1788,0.003355704697986577
SUN,5.0,2871,2905,-0.0010327022375215145
PIH,-5.5,1659,1669,-0.002396644697423607
EKO,-10.0,1580,1579,0.017099430018999367
SGU,7.5,3319,3317,0.02683147422369611
PSC,-4.0,2541,2541,0.0007870916961826052
BTM,-10.0,708,705,-0.0028368794326241137
SLE,4.0,486,484,-0.026859504132231406
IDA,-7.0,3103,3110,0.0045016077170418
HLN,-1.0,1986,1994,0.006519558676028084
FCA,3.0,2762,2760,-0.003260869565217391
MSO,-8.0,3256,3259,-0.000613685179502915
GTF,-12.0,2140,2138,0.01824134705332086
LWS,-2.0,652,652,0.06901840490797546
YKM,-1.0,340,338,-0.008875739644970414
BZN,19.0,4659,4650,0.00881720430107527
BIL,-4.0,4505,4509,0.00022177866489243733
RDM,1.0,3434,3438,0.03926701570680628
FAR,2.0,4431,4432,-0.0006768953068592057
JAC,2.0,3766,3764,-0.005313496280552604
IYK,-9.0,958,954,-0.0020964360587002098
SMX,-10.0,1681,1682,-0.00535077288941736
ACV,-9.0,3714,3702,0.024581307401404646
OXR,1.0,1292,1291,-0.0023237800154918666
RDD,-6.0,1682,1685,0.0
CEC,-9.0,1063,1067,-0.010309278350515464
MOD,0.0,2325,2325,0.02021505376344086
CIC,-5.0,1392,1392,-0.005028735632183908
IPL,-1.0,989,986,0.0030425963488843813
PIA,-4.0,5581,5582,-0.003403797921891795
MLI,0.0,8567,8566,0.0003502218071445249
GUC,6.0,959,959,0.15328467153284672
AZO,92.0,3924,3921,0.0
LNK,-7.0,3037,3037,-0.00032927230819888045
PMD,-15.0,728,729,0.07956104252400549
BIS,16.0,2293,2292,0.006544502617801047
RFD,4.0,290,293,-0.06143344709897611
BLI,0.0,120,121,-0.09090909090909091
CDC,-9.0,668,667,0.0
SJU,2.0714285714285716,21676,21691,0.0006454289797611913
STT,7.428571428571429,2972,2972,0.007738896366083445
ANC,-0.5,19327,19329,0.004811423250038802
STX,21.0,436,436,0.22247706422018348
PHF,-9.0,6406,6409,-0.0018723669839288502
DHN,2.0,1397,1397,-0.002863278453829635
PFN,-6.0,3875,3874,-0.0005162622612287042
TOL,0.0,1478,1476,0.0020325203252032522
AGS,-7.0,2403,2406,0.03408146300914381
FAY,25.666666666666668,2267,2268,0.0004409171075837742
HHH,-3.6666666666666665,836,836,0.009569377990430622
EVV,-10.0,5844,5840,-0.0006849315068493151
GNV,2.5,2064,2064,0.04312015503875969
ABY,14.653846153846153,1095,1095,0.015525114155251141
FNT,15.1,8749,8751,-0.0075419952005485085
OAJ,16.923076923076923,1184,1184,-0.01097972972972973
BQK,-0.5,925,924,-0.007575757575757576
SWF,27.933333333333334,4249,4245,-0.001177856301531213
EWN,5.433333333333334,791,791,0.02402022756005057
MEI,9.548387096774194,674,674,0.010385756676557863
GTR,0.36,964,964,-0.012448132780082987
LYH,8.884615384615385,625,625,-0.0384
FSM,-2.619047619047619,2937,2936,-0.005449591280653951
EYW,10.533333333333333,1009,1009,0.01684836471754212
VLD,6.153846153846154,938,938,0.0031982942430703624
CSG,4.137931034482759,1481,1481,0.0
MCN,-4.0,652,652,0.003067484662576687
CHO,7.833333333333333,823,821,-0.015834348355663823
TUP,-1.5,10,9,0.6666666666666666
FLO,11.4,615,614,0.19543973941368079
SCE,10.935483870967742,645,644,0.013975155279503106
TYR,-1.5483870967741935,1585,1585,-0.0037854889589905363
LAW,15.0,2369,2366,0.0038038884192730348
SPS,7.096774193548387,1834,1831,-0.0032768978700163844
ABI,1.1481481481481481,2660,2661,-0.001503194287861706
GGG,7.870967741935484,978,972,-0.009259259259259259
ACT,13.074074074074074,1993,1994,0.0015045135406218655
SJT,16.0,1316,1315,0.001520912547528517
TXK,19.258064516129032,1250,1247,-0.0048115477145148355
CMI,17.06451612903226,2774,2770,0.0007220216606498195
ROW,8.96774193548387,961,961,-0.005202913631633715
RST,4.387096774193548,3353,3352,-0.0014916467780429594
MQT,25.51851851851852,991,993,0.12789526686807653
LSE,7.851851851851852,2005,2005,0.003491271820448878
DBQ,36.96296296296296,1349,1347,-0.012620638455827766
GFK,-1.9090909090909092,1371,1371,0.010211524434719184
MOT,-1.0,1085,1085,0.011981566820276499
DLH,0.12,2013,2012,-0.0054671968190854875
SUX,-6.0,122,121,-0.0743801652892562
PLN,31.166666666666668,264,264,-0.05303030303030303
BGM,3.129032258064516,728,728,-0.009615384615384616
ERI,19.0,1399,1398,0.035050071530758224
ALO,12.518518518518519,323,323,-0.02786377708978328
CMX,22.64516129032258,318,318,-0.040880503144654086
RHI,0.6666666666666666,221,221,0.03619909502262444
ELM,7.84,1336,1336,0.005988023952095809
JNU,8.0,4410,4410,-0.0013605442176870747
KTN,59.0,2380,2381,-0.0029399412011759767
ADQ,-1.0,706,706,-0.009915014164305949
FAI,-11.0,4822,4822,0.006636250518457071
SIT,-2.0,1332,1332,-0.008258258258258258
PSG,37.0,727,727,-0.009628610729023384
WRG,3.0,727,727,0.0041265474552957355
SCC,-6.0,727,727,0.026134800550206328
BET,-19.0,1035,1035,-0.00676328502415459
CDV,-18.0,725,725,-0.038620689655172416
OME,-27.0,1090,1090,0.014678899082568808
YAK,-17.0,725,725,-0.016551724137931035
BRW,0.0,728,728,0.019230769230769232
OTZ,-17.0,1086,1086,0.04143646408839779
ADK,-2.0,102,102,-0.18627450980392157
BQN,2.0,1519,1519,0.030941408821593155
PSE,10.0,755,753,-0.0026560424966799467
GCC,-1.0,1046,1046,0.0038240917782026767
RKS,25.0,954,953,0.00944386149003148
MKG,72.0,396,392,-0.02040816326530612
DLG,26.0,116,116,0.05172413793103448
AKN,28.0,116,116,0.1724137931034483
LWB,8.0,185,185,0.3027027027027027
ACK,-8.0,457,469,-0.04051172707889126
WYS,-11.0,264,264,-0.04924242424242424
BJI,0.15384615384615385,74,74,-0.25675675675675674
INL,-3.2,72,72,-0.25
GST,7.0,85,85,-0.1411764705882353
PUB,45.0,2,0,0
LMT,0.0,511,510,-0.041176470588235294
OTH,-9.0,515,517,-0.0019342359767891683
ITH,-0.8333333333333334,132,133,-0.03759398496240601
HTS,-10.0,158,159,0.0
PIR,9.0,5,5,2.4
